District Name,School Name,Lat,Long,Total Students,Total SWD,e,s,m,sc,te,ts,tm,tsc
LEE,MARINER MIDDLE SCHOOL,26.66100,-82.00567,1011,138,30,13,34,8,515,191,566,151
LEE,NORTH FORT MYERS ACADEMY FOR THE ARTS,26.70830,-81.88181,1119,138,22,8,33,10,512,135,548,155
LEE,NORTH FORT MYERS HIGH SCHOOL,26.66303,-81.91275,1878,167,19,13,15,12,689,319,377,361
LEE,OAK HAMMOCK MIDDLE SCHOOL,26.67331,-81.79033,1505,182,25,11,38,10,533,239,718,120
LEE,PAUL LAURENCE DUNBAR MIDDLE SCHOOL,26.60535,-81.83757,1018,154,28,14,32,13,479,220,572,149
LEE,RIVERDALE HIGH SCHOOL,26.70661,-81.72413,2316,244,20,23,20,31,582,276,316,398
LEE,SOUTH FORT MYERS HIGH SCHOOL,26.53743,-81.84901,1901,240,13,9,18,6,273,188,223,167
LEE,THE ALVA SCHOOL,26.71741,-81.60950,1033,128,15,11,33,5,437,139,511,133
LEE,THREE OAKS MIDDLE SCHOOL,26.47221,-81.79588,1055,148,29,16,44,11,648,259,720,215
LEE,TRAFALGAR MIDDLE SCHOOL,26.61998,-82.01731,916,120,28,18,39,6,641,231,700,204
LEE,VARSITY LAKES MIDDLE SCHOOL,26.62216,-81.72618,1345,182,21,20,25,2,643,266,633,154
LEE,VETERANS PARK ACADEMY FOR THE ARTS,26.59705,-81.63508,1714,283,40,15,50,11,628,166,666,156
LEON,AMOS P. GODBY HIGH SCHOOL,30.46119,-84.31633,1385,179,17,7,20,7,223,118,199,113
LEON,DEERLAKE MIDDLE SCHOOL,30.60866,-84.24074,1012,121,40,24,47,8,761,322,817,224
LEON,ELIZABETH COBB MIDDLE SCHOOL,30.45210,-84.26777,801,86,24,13,20,4,447,195,464,127
LEON,FAIRVIEW MIDDLE SCHOOL,30.40070,-84.26889,837,103,22,7,26,7,414,141,424,123
LEON,FORT BRADEN SCHOOL,30.43880,-84.51416,774,140,7,4,12,2,214,55,250,68
